,0
0,30.553968
1,30.549809
2,30.55871
3,30.54897
4,30.553286
5,30.55162
6,30.54897
7,30.557095
8,30.546835
9,30.558254
10,30.557497
11,30.558397
12,30.550629
13,30.54769
14,30.55871
15,30.547474
16,30.553633
17,30.558592
18,30.556166
19,30.54918
20,30.547474
21,30.557684
22,30.542894
23,30.550425
24,30.554766
25,30.55871
26,30.544168
27,30.548542
28,30.550425
29,30.557943
30,30.553968
31,30.55887
32,30.556988
33,30.550829
34,30.5538
35,30.54599
36,30.554293
37,30.542097
38,30.557497
39,30.554453
40,30.556038
41,30.558254
42,30.557684
43,30.547047
44,30.54769
45,30.550016
46,30.543066
47,30.556988
48,30.557684
49,30.54939
50,30.558182
51,30.555065
52,30.555635
53,30.550629
54,30.552382
55,30.554766
56,30.552006
57,30.558254
58,30.547474
59,30.5538
60,30.54918
61,30.551813
62,30.549809
63,30.557858
64,30.557497
65,30.55162
66,30.557095
67,30.54726
68,30.546835
69,30.550016
70,30.55123
71,30.554916
72,30.557684
73,30.555212
74,30.546623
75,30.546623
76,30.548117
77,30.542727
78,30.550829
79,30.55887
80,30.554132
81,30.549599
82,30.543789
83,30.557943
84,30.55871
85,30.55311
86,30.550629
87,30.552382
88,30.558529
89,30.550829
90,30.557858
91,30.55162
92,30.558651
93,30.552006
94,30.54578
95,30.556166
96,30.542727
97,30.558182
98,30.543243
99,30.55892
100,30.549809
101,30.556765
102,30.55123
103,30.558464
104,30.5572
105,30.542404
106,30.548117
107,30.556765
108,30.553286
109,30.555635
110,30.543243
111,30.552567
112,30.5572
113,30.558329
114,30.554293
115,30.554611
116,30.544363
117,30.552933
118,30.552006
119,30.55022
120,30.542894
121,30.559011
122,30.550016
123,30.555357
124,30.555635
125,30.544168
126,30.557095
127,30.558182
128,30.54599
129,30.557095
130,30.548117
131,30.555498
132,30.557497
133,30.549809
134,30.55022
135,30.550829
136,30.548542
137,30.558966
138,30.555357
139,30.556879
140,30.544363
141,30.542246
142,30.556412
143,30.552382
144,30.556988
145,30.55123
146,30.556292
147,30.550829
148,30.54342
149,30.542562
150,30.542562
151,30.542097
152,30.552933
153,30.551031
154,30.558966
155,30.559011
156,30.5462
157,30.555065
158,30.552567
159,30.558104
160,30.552752
161,30.556652
162,30.557592
163,30.5538
164,30.542246
165,30.557684
166,30.556038
167,30.54726
168,30.550016
169,30.546623
170,30.556166
171,30.556988
172,30.556166
173,30.558651
174,30.558592
175,30.551426
176,30.55871
177,30.545572
178,30.558592
179,30.556166
180,30.558104
181,30.557858
182,30.544758
183,30.544561
184,30.553461
185,30.546412
186,30.55887
187,30.558329
188,30.547903
189,30.54769
190,30.545162
191,30.556879
192,30.557402
193,30.548117
194,30.548758
195,30.54342
196,30.551813
197,30.54939
198,30.548117
199,30.545162
200,30.555065
201,30.558254
202,30.55887
203,30.551031
204,30.556038
205,30.545572
206,30.54897
207,30.543789
208,30.545572
209,30.555635
210,30.552382
211,30.554611
212,30.543604
213,30.551813
214,30.542246
215,30.545572
216,30.558651
217,30.544363
218,30.542727
219,30.551031
220,30.552006
221,30.556879
222,30.556292
223,30.555498
224,30.5572
225,30.550425
226,30.553968
227,30.557943
228,30.557095
229,30.554916
230,30.550016
231,30.54599
232,30.54833
233,30.554916
234,30.558104
235,30.547474
236,30.558819
237,30.544363
238,30.542894
239,30.54578
240,30.557302
241,30.552933
242,30.54833
243,30.542894
244,30.556534
245,30.543978
246,30.555357
247,30.557592
248,30.54599
249,30.543978
250,30.555357
251,30.554916
252,30.556879
253,30.555498
254,30.545162
255,30.55871
256,30.552933
257,30.54599
258,30.550829
259,30.550629
260,30.553461
261,30.550425
262,30.551426
263,30.542562
264,30.542404
265,30.551031
266,30.544758
267,30.552752
268,30.558104
269,30.543604
270,30.554453
271,30.544561
272,30.546835
273,30.554916
274,30.558651
275,30.557943
276,30.555773
277,30.545162
278,30.545572
279,30.554611
280,30.544363
281,30.5572
282,30.542246
283,30.557772
284,30.551813
285,30.558329
286,30.555357
287,30.542097
288,30.553286
289,30.542404
290,30.550829
291,30.558966
292,30.544363
293,30.543066
294,30.558397
295,30.554916
296,30.543604
297,30.557592
298,30.556292
299,30.552933
300,30.552195
301,30.55871
302,30.556879
303,30.543978
304,30.558023
305,30.557095
306,30.558329
307,30.557684
308,30.557095
309,30.557592
310,30.54342
311,30.555635
312,30.547047
313,30.558592
314,30.555906
315,30.54918
316,30.554293
317,30.556166
318,30.557302
319,30.544168
320,30.546412
321,30.543789
322,30.558397
323,30.54897
324,30.547474
325,30.546623
326,30.557302
327,30.542894
328,30.553633
329,30.557943
330,30.547047
331,30.557858
332,30.556292
333,30.548542
334,30.556765
335,30.5462
336,30.552382
337,30.547047
338,30.558966
339,30.556038
340,30.553633
341,30.543243
342,30.558651
343,30.558329
344,30.554916
345,30.542562
346,30.555065
347,30.553968
348,30.556988
349,30.557095
350,30.554766
351,30.547474
352,30.558104
353,30.554766
354,30.555906
355,30.547047
356,30.549599
357,30.553968
358,30.558529
359,30.55123
360,30.556412
361,30.546835
362,30.558765
363,30.542097
364,30.542727
365,30.54726
366,30.556292
367,30.558765
368,30.552195
369,30.552567
370,30.557592
371,30.542894
372,30.55311
373,30.552195
374,30.555498
375,30.54726
376,30.543243
377,30.556292
378,30.559011
379,30.557943
380,30.55887
381,30.546623
382,30.543066
383,30.557684
384,30.558104
385,30.557497
386,30.55887
387,30.542894
388,30.558592
389,30.554132
390,30.547047
391,30.549809
392,30.543978
393,30.544758
394,30.553286
395,30.552195
396,30.55871
397,30.548117
398,30.544168
399,30.546835
400,30.556765
401,30.554611
402,30.54918
403,30.558182
404,30.546412
405,30.557684
406,30.558966
407,30.557858
408,30.54833
409,30.555065
410,30.543243
411,30.546412
412,30.557858
413,30.558765
414,30.55123
415,30.55022
416,30.54769
417,30.54726
418,30.556412
419,30.542097
420,30.5572
421,30.542894
422,30.558464
423,30.556988
424,30.558819
425,30.552006
426,30.547903
427,30.55022
428,30.543789
429,30.54599
430,30.557858
431,30.545162
432,30.543604
433,30.556534
434,30.54599
435,30.546835
436,30.558529
